"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"99","Submission provider C","https://www.accc.gov.au/system/files/Submission%20provider%20C%20-%20redacted.pdf","pdf","","",""
"100","Submission Provider D","https://www.accc.gov.au/system/files/Submission%20Provider%20D.pdf","pdf","","",""
"101","Submission Provider E","https://www.accc.gov.au/system/files/Submission%20Provider%20E.pdf","pdf","","",""
"102","Submission Provider F","https://www.accc.gov.au/system/files/Submission%20provider%20F%20-%20redacted.pdf","pdf","","",""
"103","SunRice","https://www.accc.gov.au/system/files/Redacted_Water%20Inquiry%20-%20Submission%20-%20SunRice.pdf","pdf","","",""
"104","Susan Wilson","https://www.accc.gov.au/system/files/PDF_%20Water%20Inquiry%20-%20Submission%20-%20Submission%20from%20Susan%20Wilson%20-%206%20November%202019.pdf","pdf","","",""
"105","Swan Hill Rural City Council","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Swan%20Hill%20Rural%20City%20Council%20-%2029%20Nov%2019.pdf","pdf","","",""
"106","Terry Murphy","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Terry%20Murphy%20-%2028%20November%202019.pdf","pdf","","",""
"107","The Australia Institute","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20The%20Australia%20Institute%20-%2029%20Nov%2019.pdf","pdf","","",""
"108","Tiho Ancev, Willem Vervoort and April Zhao","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20The%20University%20of%20Sydney%20%28USYD%29%2029%20Nov%2019.pdf","pdf","","",""
"109","Tom Martin","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20Tom%20Martin%20-%2011%20November%202019.pdf","pdf","","",""
"110","Upper Wantagong Station Pty Ltd","https://www.accc.gov.au/system/files/_Redacted_%20Water%20Inquiry%20-%20Submission%20-%20Upper%20Wantagong%20Station%20-%2029%20Nov%2019_Redacted.pdf","pdf","","",""
"111","Victorian Environmental Water Holder","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Victorian%20Environmental%20Water%20Holder%20-%2019%20December%202019%20%281%29.pdf","pdf","","",""
"112","Victorian Farmers Federation Sunraysia Branch","https://www.accc.gov.au/system/files/PDF_Water%20inquiry%20-%20Submission%20-%20Victorian%20Farmers%20Federation%20Sunraysia%20Branch.pdf","pdf","","",""
"113","Victorian Farmers Federation","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20Victorian%20Farmers%20Federation%20-%2029%20Nov%2019.pdf","pdf","","",""
"114","Victorian Government","https://www.accc.gov.au/system/files/Victorian%20Government_0.pdf","pdf","","",""
"115","Wamba Wamba Land Council & Bob Worrell","https://www.accc.gov.au/system/files/_pdf_Water%20Inquiry%20-%20Submission%20-%20Wamba%20Wamba%20Land%20Council%20%26amp%3BBob%20Worrell%20-%2029%20Nov%2019.pdf","pdf","","",""
"116","Warwick Heckendorf","https://www.accc.gov.au/system/files/PDF_Water%20inquiry%20-%20Submission%20-%20Submission%20from%20Warwick%20Heckendorf%20-%2026%20October%202019.pdf","pdf","","",""
"117","Water Find Pty Ltd","https://www.accc.gov.au/system/files/sub%20only_Water%20inquiry%20-%20Submission%20-%20Water%20Find%20Pty%20Ltd%20-%2029%20Nov%202019.pdf","pdf","","",""
"118","WaterNSW","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20WaterNSW%20-%2016%20December%202019.pdf","pdf","","",""
"119","Webster Limited","https://www.accc.gov.au/system/files/PDF_%20Water%20Inquiry%20-%20Submission%20%20-%20Webster%20Limited%20-%2029%20Nov%2019.pdf","pdf","","",""
"120","WEX Water Pty Ltd","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Waterexchange%20-%206%20December%202019%20%281%29.pdf","pdf","","",""
"121","WR, CJ & HA, RJ Glenn","https://www.accc.gov.au/system/files/pdf%20Water%20Inquiry%20-%20Submission%20-%20WR%2C%20CJ%20%26amp%3B%20HA%2C%20RJ%20Glenn%20-%2027%20Nov%2019.pdf","pdf","","",""
"122","Yenda Producers Co-operative","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Yenda%20Producers%20Co-operative%20-%2030%20October%202019.pdf","pdf","","",""
